product_code,product_description,sbu_code,sbu_description,business_field_desc,business_field_code,business_unit_code,business_unit_desc
SIA-A4416-1ML,PEROXIDASE CONJUGATE-GOAT ANTI-MOUSE IGG,696,Antibody Technologies,Protein & Pathway Analysis,C16,LR4,Biology
SUP-A4673-10G,ALBENDAZOL,531,Drugs & Metrological Institutes,Reference Materials (RM),C47,LR2,Chemistry
SIA-A6778-.25UN,ANGIOTENSIN CONVERTING ENZYME FROM RABBI,698,BSM and Signaling Proteins,Protein & Pathway Analysis,C16,LR4,Biology
SIA-A8181-1EA,AMIDO BLACK STAINING SOLUTIONELECTROPHOR,69E,Electrophoresis - WB,Molecular Reagents & Tools,C61,LR4,Biology
SIA-A8980-1G,ACARBOSE,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-B4589-100G,"1,2,4-BENZENETRICARBOXYLIC ACID, >=99%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-D1159-100MG,21-FOSFATO DISODICO DE DEXAMETASONA,034,ELISAs & Specialty Assays,Protein & Pathway Analysis,C16,LR4,Biology
SIA-D6821-10MG,DONEPEZIL HYDROCHLORIDE MONOHYDRATE,698,BSM and Signaling Proteins,Protein & Pathway Analysis,C16,LR4,Biology
SIA-E6383-5G,N-(3-DIMETHYLAMINOPROPYL)-N'-ETHYLCARBO&,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-F6182-20ML,FLOROSHIELD (MEDIO ACUOSO DE MONTAJE PAR,790,H & H - Red,Regulated Materials,AS9,LA4,Diagnostics & Regulated Materials
SIA-F6765-500ML,"FETAL BOVINE SERUM, CHARCOAL STRIPPED",769,Cell Culture Sera,Cell Biology Reagents,C17,LR4,Biology
SIA-G1660-10MG,BROMHIDRATO DE GALANTAMINA,698,BSM and Signaling Proteins,Protein & Pathway Analysis,C16,LR4,Biology
SIA-G4410-10G,GRIESS REAGENT (MODIFIED),710,Molecular Prep & PCR,Molecular Reagents & Tools,C61,LR4,Biology
CYT-GE17-5446-52,"FICOLL-PAQUE PREMIUM 1,073 6X100ML",781,Premier & Partnerships,Partners & Alliances,C15,LR4,Biology
SIA-H3393-50KU,HEPARINA S¿DICA,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-H3506-100MG,HYALURONIDASE TYPE I-S FROM*BOVINE TESTE,694,Cell Culture Essentials,Cell Biology Reagents,C17,LR4,Biology
SIA-H54409-25G,"TRANS-4-HYDROXY-L-PROLINE, 99+%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-I9157-100ML,"YODOPLATINATO, REACTIVO EN SPRAY",777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-N4505-100MG,B-NAD REDUCED FORM DIPOTASSIUM,760,Protein Prep & Reagents,Molecular Reagents & Tools,C61,LR4,Biology
SIA-O1391-500ML,"OIL RED O SOLUTION , 0.5% IN ISOPROP&",790,H & H - Red,Regulated Materials,AS9,LA4,Diagnostics & Regulated Materials
SUP-P3143-1L,POLYETHYLENIMINE 50% (W/V) AQUEOUS SOLUT,533,"Additional, Phys Prop & Matrix",Reference Materials (RM),C47,LR2,Chemistry
SIA-P3932-10G,"POLI(2-HIDROXIETIL METACRILATO), PROBADO",694,Cell Culture Essentials,Cell Biology Reagents,C17,LR4,Biology
SIA-PZ0218-25MG,PF-03814735,698,BSM and Signaling Proteins,Protein & Pathway Analysis,C16,LR4,Biology
SIA-S6760-250ML,"SPAN(R) 80, NONIONIC SURFACTANT",499,BioChem Core,Biochemistry,C35,LR2,Chemistry
SIA-S9390-500G,"SODIUM PHOSPHATE DIBASIC, HEPTAHYDRATE &",778,Inorganics for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-T7191-5MG,SEMI-SYMTHETIC PACLITAXEL (NON-CELL-*CUL,698,BSM and Signaling Proteins,Protein & Pathway Analysis,C16,LR4,Biology
SIA-D4876-50G,"P-NITROPHENYL PHOSPHATE, DIS 1PC X 5GM",698,BSM and Signaling Proteins,Protein & Pathway Analysis,C16,LR4,Biology
5310-100GM,"HEPES, Free Acid 1PC X 100GM",499,BioChem Core,Biochemistry,C35,LR2,Chemistry
71504-3,"D-Tube™ Dialyzer Mini, MWCO 1 PC",687,Concentration & Separation,Molecular Reagents & Tools,C61,LR4,Biology
SIA-Z742629-20EA,TUBE-O-DIALYZER(TM) MINI DIALYSIS SYSTEM,781,Premier & Partnerships,Partners & Alliances,C15,LR4,Biology
100317.2500,HYDROCHLORIC ACID FUMING 37% FOR ANALYSI,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
103819.0100,"IRON GR FOR ANALYSIS REDUCED, PARTICLE S",702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
105833.1000,MAGNESIUM CHLORIDE HEXAHYDRATE P.A. EMS,702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
106637.1000,"SODIUM SULFATE ANHYDROUS, COARSE GRANULE",702,Classical Inorganics for QC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
108327.1000,TOLUENE FOR LIQUID CHROMATOGRAPHY LICHRO,526,Solvents Instrumental Analysis,Analytical Chemistry & Solvents,C45,LR2,Chemistry
